uid,district,phone,url,county,chamber,address,email,name
646,75,919-733-5747,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=646&sChamber=House,Forsyth,H,"NC House of Representatives,300 N. Salisbury Street, Room 610
,Raleigh, NC 27603-5925",Donny.Lambeth@ncleg.net,Representative Donny Lambeth  (Rep)
18,58,919-733-5902,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=18&sChamber=House,Guilford,H,"NC House of Representatives,16 W. Jones Street, Room 1219
,Raleigh, NC 27601-1096",Alma.Adams@ncleg.net,Representative Alma Adams  (Dem)
595,39,919-733-5974,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=595&sChamber=House,Wake,H,"NC House of Representatives,16 W. Jones Street, Room 1013
,Raleigh, NC 27601-1096",Darren.Jackson@ncleg.net,Representative Darren G. Jackson  (Dem)
292,83,919-733-5861,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=292&sChamber=House,Cabarrus,H,"NC House of Representatives,300 N. Salisbury Street, Room 301D
,Raleigh, NC 27603-5925",Linda.Johnson2@ncleg.net,Representative Linda P. Johnson  (Rep)
677,92,919-733-5654,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=677&sChamber=House,Mecklenburg,H,"NC House of Representatives,16 W. Jones Street, Room 1002
,Raleigh, NC 27601-1096",Charles.Jeter@ncleg.net,Representative Charles Jeter  (Rep)
46,56,919-733-7208,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=46&sChamber=House,Orange,H,"NC House of Representatives,300 N. Salisbury Street, Room 502
,Raleigh, NC 27603-5925",Verla.Insko@ncleg.net,Representative Verla Insko  (Dem)
620,65,919-733-5779,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=620&sChamber=House,"Caswell,Rockingham",H,"NC House of Representatives,300 N. Salisbury Street, Room 416A
,Raleigh, NC 27603-5925",Bert.Jones@ncleg.net,Representative Bert Jones  (Rep)
621,93,919-733-7727,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=621&sChamber=House,"Ashe,Watauga",H,"NC House of Representatives,300 N. Salisbury Street, Room 420
,Raleigh, NC 27603-5925",Jonathan.Jordan@ncleg.net,Representative Jonathan C. Jordan  (Rep)
53,79,919-733-5904,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=53&sChamber=House,"Davie,Forsyth",H,"NC House of Representatives,300 N. Salisbury Street, Room 302
,Raleigh, NC 27603-5925",Julia.Howard@ncleg.net,Representative Julia C. Howard  (Rep)
604,68,919-733-2406,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=604&sChamber=House,Union,H,"NC House of Representatives,300 N. Salisbury Street, Room 419A
,Raleigh, NC 27603-5925",Craig.Horn@ncleg.net,Representative D. Craig Horn  (Rep)
650,38,919-733-5758,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=650&sChamber=House,Wake,H,"NC House of Representatives,16 W. Jones Street, Room 1211
,Raleigh, NC 27601-1096",Yvonne.Holley@ncleg.net,Representative Yvonne Lewis Holley  (Dem)
531,91,919-733-5609,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=531&sChamber=House,"Rockingham,Stokes",H,"NC House of Representatives,300 N. Salisbury Street, Room 305
,Raleigh, NC 27603-5925",Bryan.Holloway@ncleg.net,Representative Bryan R. Holloway  (Rep)
598,17,919-301-1450,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=598&sChamber=House,Brunswick,H,"NC House of Representatives,300 N. Salisbury Street, Room 637
,Raleigh, NC 27603-5925",Frank.Iler@ncleg.net,Representative Frank Iler  (Rep)
618,110,919-715-2002,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=618&sChamber=House,"Cleveland,Gaston",H,"NC House of Representatives,16 W. Jones Street, Room 2123
,Raleigh, NC 27601-1096",Kelly.Hastings@ncleg.net,Representative Kelly E. Hastings  (Rep)
619,73,919-715-8361,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=619&sChamber=House,"Alexander,Wilkes,Yadkin",H,"NC House of Representatives,300 N. Salisbury Street, Room 639
,Raleigh, NC 27603-5925",Mark.Hollo@ncleg.net,Representative Mark W. Hollo  (Rep)
560,70,919-733-5865,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=560&sChamber=House,Randolph,H,"NC House of Representatives,300 N. Salisbury Street, Room 532
,Raleigh, NC 27603-5925",Pat.Hurley@ncleg.net,Representative Pat B. Hurley  (Rep)
379,22,(919) 733-4809,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=379&sChamber=senate,"Caswell,Durham,Person",S,"NC Senate,300 N. Salisbury Street, Room 515
,Raleigh, NC 27603-5925",Mike.Woodard@ncleg.net,Senator Mike Woodard  (Dem)
310,35,(919) 733-7659,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=310&sChamber=senate,Union,S,"NC Senate,300 N. Salisbury Street, Room 311
,Raleigh, NC 27603-5925",Tommy.Tucker@ncleg.net,Senator Tommy Tucker  (Rep)
376,41,(919) 715-3050,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=376&sChamber=senate,Mecklenburg,S,"NC Senate,16 W. Jones Street, Room 2115
,Raleigh, NC 27601-2808",Jeff.Tarte@ncleg.net,Senator Jeff Tarte  (Rep)
267,16,(919) 715-6400,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=267&sChamber=senate,Wake,S,"NC Senate,16 W. Jones Street, Room 1113
,Raleigh, NC 27601-2808",Josh.Stein@ncleg.net,Senator Josh Stein  (Dem)
297,45,(919) 733-5742,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=297&sChamber=senate,"Alleghany,Ashe,Avery,Caldwell,Watauga",S,"NC Senate,300 N. Salisbury Street, Room 310
,Raleigh, NC 27603-5925",Dan.Soucek@ncleg.net,Senator Dan Soucek  (Rep)
377,27,(919) 733-5856,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=377&sChamber=senate,Guilford,S,"NC Senate,16 W. Jones Street, Room 2106
,Raleigh, NC 27601-2808",Trudy.Wade@ncleg.net,Senator Trudy Wade  (Rep)
269,13,(919) 733-5651,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=269&sChamber=senate,"Columbus,Robeson",S,"NC Senate,300 N. Salisbury Street, Room 517
,Raleigh, NC 27603-5925",Michael.Walters@ncleg.net,Senator Michael P. Walters  (Dem)
99,29,(919) 733-5870,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=99&sChamber=senate,"Moore,Randolph",S,"NC Senate,300 N. Salisbury Street, Room 627
,Raleigh, NC 27603-5925",Jerry.Tillman@ncleg.net,Senator Jerry W. Tillman  (Rep)
11,39,(919) 733-5655,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=11&sChamber=senate,Mecklenburg,S,"NC Senate,300 N. Salisbury Street, Room 300-A
,Raleigh, NC 27603-5925",Bob.Rucho@ncleg.net,Senator Bob Rucho  (Rep)
374,30,(919) 733-5743,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=374&sChamber=senate,"Stokes,Surry,Wilkes",S,"NC Senate,300 N. Salisbury Street, Room 308
,Raleigh, NC 27603-5925",Shirley.Randleman@ncleg.net,Senator Shirley B. Randleman  (Rep)
372,32,(919) 733-5620,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=372&sChamber=senate,Forsyth,S,"NC Senate,300 N. Salisbury Street, Room 519
,Raleigh, NC 27603-5925",Earline.Parmon@ncleg.net,Senator Earline W. Parmon  (Dem)
303,8,(919) 733-5963,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=303&sChamber=senate,"Bladen,Brunswick,New Hanover,Pender",S,"NC Senate,16 W. Jones Street, Room 2108
,Raleigh, NC 27601-2808",Bill.Rabon@ncleg.net,Senator Bill Rabon  (Rep)
373,12,(919) 733-5748,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=373&sChamber=senate,"Harnett,Johnston,Lee",S,"NC Senate,300 N. Salisbury Street, Room 526
,Raleigh, NC 27603-5925",Ron.Rabin@ncleg.net,Senator Ronald J. Rabin  (Rep)
273,7,(919) 733-5621,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=273&sChamber=senate,"Lenoir,Pitt,Wayne",S,"NC Senate,16 W. Jones Street, Room 1028
,Raleigh, NC 27601-2808",Louis.Pate@ncleg.net,Senator Louis Pate  (Rep)
364,28,(919) 715-3042,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=364&sChamber=senate,Guilford,S,"NC Senate,16 W. Jones Street, Room 1120
,Raleigh, NC 27601-2808",Gladys.Robinson@ncleg.net,Senator Gladys A. Robinson  (Dem)
375,2,(919) 733-5706,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=375&sChamber=senate,"Carteret,Craven,Pamlico",S,"NC Senate,300 N. Salisbury Street, Room 629
,Raleigh, NC 27603-5925",Norman.Sanderson@ncleg.net,Senator Norman W. Sanderson  (Rep)
119,49,(919) 715-3001,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=119&sChamber=senate,Buncombe,S,"NC Senate,16 W. Jones Street, Room 1129
,Raleigh, NC 27601-2808",Martin.Nesbitt@ncleg.net,"Senator Martin L. Nesbitt, Jr.  (Dem)"
8,,,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=8&sChamber=senate,,S,,,Senator Eleanor Kinnaird  (Dem)
371,25,(919) 733-5953,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=371&sChamber=senate,"Anson,Richmond,Rowan,Scotland,Stanly",S,"NC Senate,16 W. Jones Street, Room 1118
,Raleigh, NC 27601-2808",Gene.McLaurin@ncleg.net,Senator Gene McLaurin  (Dem)
305,19,(919) 733-5776,http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=305&sChamber=senate,Cumberland,S,"NC Senate,300 N. Salisbury Street, Room 314
,Raleigh, NC 27603-5925",Wesley.Meredith@ncleg.net,Senator Wesley Meredith  (Rep)
