county,phone,name,district,address,url,email
"Columbus,Robeson",(919) 733-5651,Senator Michael P. Walters  (Dem),13,"NC Senate,300 N. Salisbury Street, Room 517
,Raleigh, NC 27603-5925",http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=269&sChamber=senate,Michael.Walters@ncleg.net
"Moore,Randolph",(919) 733-5870,Senator Jerry W. Tillman  (Rep),29,"NC Senate,300 N. Salisbury Street, Room 627
,Raleigh, NC 27603-5925",http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=99&sChamber=senate,Jerry.Tillman@ncleg.net
"Caswell,Durham,Person",(919) 733-4809,Senator Mike Woodard  (Dem),22,"NC Senate,300 N. Salisbury Street, Room 515
,Raleigh, NC 27603-5925",http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=379&sChamber=senate,Mike.Woodard@ncleg.net
vote,mid,vid
Vote,S775,13SRCS #
Excused Absence,S775,13S1
Excused Absence,S775,13S3
Aye,S775,13S4
Aye,S775,13S5
No,S775,13S28
Aye,S775,13S44
Aye,S775,13S583
Aye,S775,13S99
Aye,S775,13S89
Aye,S775,13S540
Aye,S775,13S7
No,S775,13S8
No,S775,13S9
No,S775,13S10
Aye,S775,13S11
Aye,S775,13S16
Aye,S775,13S17
Aye,S775,13S18
No,S775,13S60
Aye,S775,13S205
Aye,S775,13S69
Aye,S775,13S15
Aye,S775,13S590
Aye,S775,13S35
Aye,S775,13S609
Aye,S775,13S871
Aye,S775,13S62
Aye,S775,13S63
Aye,S775,13S130
Aye,S775,13S70
Aye,S775,13S330
Aye,S775,13S286
Aye,S775,13S64
Aye,S775,13S125
Aye,S775,13S258
Aye,S775,13S33
No,S775,13S105
Aye,S775,13S554
Aye,S775,13S86
Aye,S775,13S6
Aye,S775,13S58
Aye,S775,13S46
Aye,S775,13S47
Aye,S775,13S71
Aye,S775,13S111
Aye,S775,13S27
Aye,S775,13S12
Aye,S775,13S13
Aye,S775,13S26
Aye,S775,13S48
Aye,S775,13S52
Aye,S775,13S56
Aye,S775,13S240
Aye,S775,13S259
Aye,S775,13S19
Aye,S775,13S100
Aye,S775,13S895
Aye,S775,13S34
Aye,S775,13S316
Aye,S775,13S789
Aye,S775,13S36
Aye,S775,13S37
Aye,S775,13S38
Aye,S775,13S39
No,S775,13S40
Aye,S775,13S41
Aye,S775,13S45
No,S775,13S541
Aye,S775,13S830
Aye,S775,13S300
Aye,S775,13S80
No,S775,13S81
No,S775,13S82
No,S775,13S83
Aye,S775,13S84
Aye,S775,13S85
Aye,S775,13S773
Aye,S775,13S797
Aye,S775,13S101
Aye,S775,13S257
Aye,S775,13S53
